Date,Underemployment Rate
1/03/2003,5.077308899
1/04/2003,4.869064117
1/05/2003,4.897693967
1/06/2003,4.880456504
1/07/2003,4.611356263
1/08/2003,4.470817101
1/09/2003,4.603301883
1/10/2003,4.316256104
1/11/2003,4.259510586
1/12/2003,4.119761186
1/01/2004,4.494082322
1/02/2004,5.030334993
1/03/2004,4.383660365
1/04/2004,4.340842143
1/05/2004,4.211076668
1/06/2004,4.260350303
1/07/2004,4.05163101
1/08/2004,4.001453773
1/09/2004,4.112870238
1/10/2004,3.614483717
1/11/2004,3.655781609
1/12/2004,3.528805477
1/01/2005,4.019636707
1/02/2005,4.356454648
1/03/2005,4.12861724
1/04/2005,3.909632193
1/05/2005,4.058207924
1/06/2005,3.89076302
1/07/2005,3.548227923
1/08/2005,3.757145782
1/09/2005,3.804815192
1/10/2005,3.642079816
1/11/2005,3.615746308
1/12/2005,3.62323328
1/01/2006,4.387884912
1/02/2006,4.431374983
1/03/2006,3.929573992
1/04/2006,3.92240952
1/05/2006,3.743370395
1/06/2006,3.76019654
1/07/2006,3.336423486
1/08/2006,3.502299169
1/09/2006,3.495140042
1/10/2006,3.369786911
1/11/2006,3.194644129
1/12/2006,3.230698803
1/01/2007,3.700386248
1/02/2007,4.07761578
1/03/2007,3.696810091
1/04/2007,3.514710286
1/05/2007,3.358731673
1/06/2007,3.47972149
1/07/2007,3.151607241
1/08/2007,3.112991053
1/09/2007,3.27637139
1/10/2007,3.064685514
1/11/2007,3.172255091
1/12/2007,3.039487952
1/01/2008,3.394359776
1/02/2008,3.577419187
1/03/2008,3.325018315
1/04/2008,3.422624349
1/05/2008,3.401509274
1/06/2008,3.303120187
1/07/2008,3.208703654
1/08/2008,3.322249509
1/09/2008,3.511277144
1/10/2008,3.315604198
1/11/2008,3.360454368
1/12/2008,3.237649393
1/01/2009,4.162726938
1/02/2009,4.829888882
1/03/2009,4.837185159
1/04/2009,4.493176253
1/05/2009,4.825961938
1/06/2009,4.829443522
1/07/2009,4.412430564
1/08/2009,4.566095873
1/09/2009,4.654864312
1/10/2009,4.483256537
1/11/2009,4.203044352
1/12/2009,4.123121271
1/01/2010,4.30625146
1/02/2010,4.597918556
1/03/2010,4.387795567
1/04/2010,4.319558054
1/05/2010,4.204823985
1/06/2010,3.98541092
1/07/2010,3.913473774
1/08/2010,3.693680683
1/09/2010,3.892825187
1/10/2010,3.930588132
1/11/2010,3.823409815
1/12/2010,3.469475227
1/01/2011,3.918007802
1/02/2011,4.12787235
1/03/2011,3.990435597
1/04/2011,3.739531649
1/05/2011,3.982643675
1/06/2011,3.821066782
1/07/2011,3.854865476
1/08/2011,3.996679025
1/09/2011,4.188748661
1/10/2011,3.965050755
1/11/2011,3.920819031
1/12/2011,3.735979999
1/01/2012,4.127879698
1/02/2012,4.390748882
1/03/2012,4.2336132
1/04/2012,3.975117029
1/05/2012,4.032233764
1/06/2012,3.980120326
1/07/2012,3.749404141
1/08/2012,3.902475576
1/09/2012,4.26920929
1/10/2012,4.093439318
1/11/2012,3.932467494
1/12/2012,3.94937061
1/01/2013,4.37247585
1/02/2013,4.709890749
1/03/2013,4.742839554
1/04/2013,4.664538955
1/05/2013,4.748673029
1/06/2013,4.678325711
1/07/2013,4.353103765
1/08/2013,4.466960224
1/09/2013,4.466957871
1/10/2013,4.470559948
1/11/2013,4.519782852
1/12/2013,4.475658329
1/01/2014,5.108448702
1/02/2014,5.236424276
1/03/2014,4.899375501
1/04/2014,4.526891131
1/05/2014,4.702479992
1/06/2014,4.768164816
1/07/2014,4.851269723
1/08/2014,4.923743945
1/09/2014,5.07128798
1/10/2014,4.832511202
1/11/2014,4.620697959
1/12/2014,4.555272657
1/01/2015,5.246376764
1/02/2015,5.249192542
1/03/2015,5.10882782
1/04/2015,4.938513679
1/05/2015,4.675677281
1/06/2015,4.73307228
1/07/2015,4.974469864
1/08/2015,5.041715534
1/09/2015,4.97849326
1/10/2015,4.641537034
1/11/2015,4.521249028
1/12/2015,4.34229769
1/01/2016,5.189380392
1/02/2016,5.047138652
1/03/2016,4.798441331
1/04/2016,4.55905621
1/05/2016,4.520670762
1/06/2016,4.343193094
1/07/2016,4.232351073
1/08/2016,4.362523015
1/09/2016,4.330350033
1/10/2016,4.234881036
1/11/2016,4.162272518
1/12/2016,4.231475347
1/01/2017,4.887480852
1/02/2017,5.050924253
1/03/2017,4.919212981
1/04/2017,4.520862854
1/05/2017,4.366042227
1/06/2017,4.309909789
1/07/2017,4.267353306
1/08/2017,4.348082798
1/09/2017,4.152602341
1/10/2017,4.058758084
1/11/2017,3.982007953
1/12/2017,4.070489973
