text,manually_annotated_label
"Here are Friday's biggest analyst calls of the day: McDonald's, Netflix, Amazon, Nvidia, Visa &amp; more  https://t.co/DyiE4GH2LD",Analyst Update
"Bernstein calls medtech company Dexcom a clear buy, citing long-term runway for diabetes management  https://t.co/y3RmrIhMwz",Analyst Update
"UBS slashes Netflix price target ahead of earnings, warns of cautious outlook for streaming giant  https://t.co/x3f9WNCS2o",Analyst Update
"BMO cuts Microsoft price target, citing pressure on software valuations and potential recession  https://t.co/JUOYvrXXVx",Analyst Update
Edward Jones says buy Qualcomm as the chipmaker's pullback creates an attractive buying opportunity  https://t.co/rVOfTewDXw,Analyst Update
Credit Suisse adds financials to its top stock picks for July  https://t.co/CoPMyQ0L7S,Analyst Update
"Here are Thursday's biggest analyst calls: Tesla, Amazon, Twitter, Qualcomm, Costco, Apple &amp; more  https://t.co/ISMHM2UZRJ",Analyst Update
"Deutsche Bank upgrades Costco to buy, says club business model will outperform in uncertain economy  https://t.co/rVFXlknshz",Analyst Update
"Morgan Stanley's Jonas trims price target for Tesla, citing slowing economy  https://t.co/XvfRerTNGr",Analyst Update
"BMO upgrades Advanced Micro Devices, says chipmaker is gaining market share from rivals  https://t.co/3kGsQnHJ0D",Analyst Update
"Bank of America slashes S&amp;P 500 target, sees stocks falling another 5% by year-end  https://t.co/CC02X5ZguX",Analyst Update
"Truist initiates coverage of Tesla with a buy rating and $1,000 price target  https://t.co/ecDt58j4Cz",Analyst Update
Goldman says this stock is a smart defensive play in the economically sensitive construction group  https://t.co/pBgwsq06Ok,Analyst Update
Wall Street bets on analysts cutting earnings estimates as the economy shows signs of slowing  https://t.co/RFaVYNxnk7,Analyst Update
Raymond James says Bath &amp; Body Works is oversold and will jump nearly 70% from here  https://t.co/SpGPi6zVko,Analyst Update
"Analyst call of the day for @CNBCPro subscribers: Citi reiterates Nvidia as buy. It lowered its price target on Nvidia to $285 per share from $315, but said gaming weakness is priced in.  Subscribe to see the analyst calls of the day curated by CNBC Pro.  https://t.co/Mczemx4nek",Analyst Update
Company downgrades are picking up steam as profit outlooks dim  https://t.co/89B4wuA8NS,Analyst Update
"Morgan Stanley names its top stocks in a ""safe haven"" tech sector — giving one upside of 60%  https://t.co/EJWD9uzzzP",Analyst Update
"Susquehanna downgrades JetBlue, cites struggles with cost structure  https://t.co/eVYtLZGWaf",Analyst Update
"Here are Tuesday's biggest analyst calls: Tesla, Apple, Gap, JPMorgan chase, Nvidia, Southwest  https://t.co/PDr6BL9S9j",Analyst Update
Morgan Stanley downgrades American Express on lower spending among high-end consumers  https://t.co/LhzFvUMP2i,Analyst Update
"Citi upgrades JPMorgan Chase to buy, says stock is at an attractive entry point  https://t.co/8sEdKZNOq2",Analyst Update
Morgan Stanley names its top stocks in a ‘safe haven’ tech sector — giving one upside of 60%  https://t.co/IDWpetaIFr,Analyst Update
"UBS cuts S&amp;P 500 price target for 2022, says earnings estimates could go down even more  https://t.co/QUc93a9bkg",Analyst Update
Evercore ISI says 'gazumped growth growers' could do well in a potentially tough earnings season  https://t.co/I1nrduZ7UB,Analyst Update
"Evercore ISI cuts S&amp;P 500 target, citing slower growth and lower earnings  https://t.co/DdYg7qX1wd",Analyst Update
"Shares of Mattel could see more than 30% upside on TV and movie releases, Goldman Sachs says  https://t.co/iRAGaxXr1t",Analyst Update
"Occidental Petroleum looks overbought after its rally this year, Goldman Sachs says  https://t.co/E1t7DwKUxM",Analyst Update
Analyst call of the day for @CNBCPro subscribers: Cowen reiterates Apple as outperform and says the stock remains a “defensive name” heading into earnings later this month.  Subscribe to see the analyst calls of the day curated by CNBC Pro.  https://t.co/qUf6a7HXO4,Analyst Update
"Here are Monday's biggest analyst calls: Apple, Amazon, Meta, Honeywell, CVS, Mattel, Qorvo &amp; more  https://t.co/PAkmEd0o4E",Analyst Update
"Bank of America upgrades Honeywell to buy, citing potential growth in aerospace and oil and gas  https://t.co/LY8knvUUoJ",Analyst Update
"It's time to sell Meta until it figures out the metaverse, Needham says in downgrade  https://t.co/KZ6bGZicgk",Analyst Update
"Bank of America shares are a compelling buy even in a recession, Societe Generale says in upgrade  https://t.co/9hqnRT1ogm",Analyst Update
Cowen downgrades chip stock Qorvo as demand for smartphone slows  https://t.co/OSnynL1SN3,Analyst Update
"$COF (104.70, -2.47, -2.3%): Capital One was downgraded to Perform from Outperform at Oppenheimer and downgraded to Equal-Weight from Overweight at Morgan Stanley",Analyst Update
"$ZG: Zillow finally gets an analyst upgrade, which we found notable, but will other firms follow suit?  https://t.co/WR1thzlRb8",Analyst Update
"@FibonacciSQNC ""E"" estimates been coming down sharply ex-Oil/Gas as well, feels a lot positioned for nasty outlooks, think could surprise",Analyst Update
$PYPL Morgan Stanley maintained Paypal coverage with Overweight and $129 PT .... im still long,Analyst Update
JMP Securities maintained $HOOD coverage with a market Outperform and $28 price target,Analyst Update
$FRLN just out: Wedbush Outperform rating and $3 PT,Analyst Update
$EPIX Just out: $25 price target at Zacks Small Cap Research  https://t.co/AhL91TafQl,Analyst Update
AM Best Removes From Under Review With Negative Implications and Affirms Credit Ratings of R&amp;Q Insurance Holdings Ltd. and Rated Subsidiaries  https://t.co/5CxW4lNxPC  https://t.co/OT5wh3hFpC,Analyst Update
KBRA Assigns Preliminary Ratings to Progress Residential 2022-SFR6  https://t.co/51Sdyk17wk  https://t.co/eZl28Rf6Ac,Analyst Update
KBRA Commentary on Fire Near Starz Mortgage Securities 2021-1 DAC Brixton Loan Collateral  https://t.co/G55xhqhEgz  https://t.co/MDpq4rxruQ,Analyst Update
AM Best Places Credit Ratings of Brightsideco Insurance Limited Under Review With Negative Implications  https://t.co/HtnytwDNYY  https://t.co/24IlfA9zmF,Analyst Update
Ventas’s Outlook Revised by Fitch Ratings to Stable  https://t.co/i6CVfL0skF  https://t.co/3ps8EgKAeo,Analyst Update
AM Best Revises Outlooks to Positive for Frank Winston Crum Insurance Company  https://t.co/EmZy6sevSL  https://t.co/NeBRmF4EZS,Analyst Update
AM Best Comments on Credit Ratings of Covéa Coopérations and PartnerRe Ltd. Following Sale Completion  https://t.co/ZgLYM3one6  https://t.co/pLAIiXalIr,Analyst Update
AM Best Comments on Credit Ratings of Athora Holding Ltd.’s Subs Following its Announced Acquisition of a Closed Life and Pension Portfolio  https://t.co/ewg89dtPPE  https://t.co/tIrduKQ5oZ,Analyst Update
AM Best Affirms Credit Ratings of Crum &amp; Forster Insurance Group’s Members and Monitor Life Insurance Company of New York  https://t.co/qam1VLkFfA  https://t.co/7mrO8NXkgv,Analyst Update
AM Best Assigns Credit Ratings to ONIX Asigurari S.A.  https://t.co/xdZ7EM0piV  https://t.co/bVeXWEySbJ,Analyst Update
NICE Named a Leader in Journey Orchestration by Top Analyst Firm  https://t.co/w5QJnqrfXg  https://t.co/avXD4NTLbL,Analyst Update
S&amp;P Affirms Assured Guaranty’s AA Financial Strength Ratings with Stable Outlook  https://t.co/f8ZnN9u0tX,Analyst Update
AM Best Places Credit Ratings of Western Health Advantage Under Review With Developing Implications  https://t.co/Ga6r7bpkjG  https://t.co/DOaZpuRkYA,Analyst Update
JPMorgan analysts have put out their monthly list of top-idea stocks  https://t.co/LuVncnTPN8,Analyst Update
Grizzly Research's bear report on NIO highlights possible accounting issues and corporate governance red flags  https://t.co/75WEh5PQGX,Analyst Update
JPMorgan analysts have put out their monthly list of top-idea stocks  https://t.co/yw6c0DSCqB,Analyst Update
Klarna’s valuation slashed to under $7bn in latest funding round  https://t.co/AxssvjoZ4L,Analyst Update
"Kraft Heinz coverage started at buy at Mizuho, citing 'portfolio with potential'  https://t.co/oEalu6AJ6e",Analyst Update
"JPMorgan lifted to hold from sell at Berenberg, because 'good banks have bad years'  https://t.co/Ybixekqctt",Analyst Update
Bank of America slashes S&amp;P 500 target to ‘lowest on the Street’ after recession forecast  https://t.co/7LfsnQnpEx,Analyst Update
"Twitter has a new bullish backer on Wall Street, as Rosenblatt Securities said the social media’s company’s disclosures have “flipped” the narrative, and now makes Elon Musk look like the bad guy.    https://t.co/8MBXxJaDHB",Analyst Update
"“[T]witter’s disclosure of very detailed efforts to explain its spam bot calculations to Musk, and Musk’s reluctance to engage, largely ends our skepticism about Twitter, and instead makes us skeptical about Musk,” one analyst wrote.  https://t.co/qO1oI2aOYQ",Analyst Update
Klarna valuation slashed to $6.7 billion from $45.6 billion in new funding round  https://t.co/TtVB8QkhtR,Analyst Update
"$LULU $FTCH $JWN - Lululemon, Nike and Nordstrom headline KeyBanc's list of top retail picks  https://t.co/qlqRDXMsdC",Analyst Update
"$NXPI $ON $NVDA - Citi gets positive on NXP, ON, as firm says semiconductor rally could last into August  https://t.co/CFla3nO61i",Analyst Update
"$TMUS $T $VZ - Citi still sees solid revenue growth in broadband, wireless despite headwinds  https://t.co/KuHvQnbx8S",Analyst Update
$MORF - Morphic coverage initiated with Outperform by SVB Securities  https://t.co/jprWFc8k82,Analyst Update
$RGEN - Repligen attracts initial bull rating at UBS Group on long-term growth prospects  https://t.co/KrUSj8h57O,Analyst Update
"$WWW $BIRD $PLBY - Stifel downgrades Allbirds, Wolverine, PLBY in downbeat retail review  https://t.co/pb0XVrknY2",Analyst Update
"$GOOG $GOOGL - Exane hits sidelines on Alphabet amid ad pressures, rival headwinds  https://t.co/uAM3RGaCae",Analyst Update
$ALLY - Ally Financial downgraded to In Line as delinquency rates rise  https://t.co/oWHXbO69wx,Analyst Update
$EXLS $G $WNS - Citi downgrades ExlService to sell over premium valuation  https://t.co/TSkwXlEy7b,Analyst Update
$CMI - Cummins downgraded at Bernstein due to slowing demand  https://t.co/RP78Ynlzfb,Analyst Update
$CZR - Caesars Entertainment set to Sell-equivalent at Susquehanna amid softening demand  https://t.co/xJCG13NTzV,Analyst Update
$VBLT - Vascular Biogenics cut to Neutral at HC Wainwright after trial failure sinks stock 79%  https://t.co/vgaNXslpim,Analyst Update
"$BMBL $MTCH - J.P. Morgan cuts online dating estimates on macro issues, but stays positive  https://t.co/2ReUS3ICQL",Analyst Update
$HBM $FQVLF $FNV - Hudbay Minerals upgraded at Barclays as value emerges after copper selloff  https://t.co/zcNwKZMMw3,Analyst Update
$XOM - Exxon upped to Buy at Piper Sandler with refinery results poised to hit records  https://t.co/3sc3QWazDb,Analyst Update
$TFC - Truist downgraded to Hold at CFRA with limited prospects in fee income growth  https://t.co/AMbKmRlgjo,Analyst Update
$DPZ - Domino’s Pizza positioned to outperform in market down - Baird  https://t.co/LrcuKC1NU9,Analyst Update
"$TAK $ARWR - Takeda upgraded to outperform at Cowen on valuation, cash flow  https://t.co/IBn8HJy4Uz",Analyst Update
$APLS - H.C. Wainwright sees blockbuster potential for Apellis' treatment in eye degeneration  https://t.co/T0PBojOolV,Analyst Update
$INO - Inovio Pharmaceuticals slotted at Sector Perform by RBC Capital in initial rating look  https://t.co/wjcHmNnug2,Analyst Update
"$BECN - Beacon Roofing Supply cut at William Blair on peak margins, slowing housing market  https://t.co/BoAJuUsEAg",Analyst Update
"$KLAC $AMAT $INTC - KLA Corp., Applied Materials, Intel among expected beneficiaries of CHIPS Act, BofA says  https://t.co/17t5NtgnKf",Analyst Update
"$INTC - Susquehanna cautious on Intel going into Q2, citing 'deteriorating PC demand'  https://t.co/gM2iS1DUCJ",Analyst Update
$CZR - Caesars Entertainment is singled out at B. Riley for earnings catalyst potential  https://t.co/gFHkRacSQS,Analyst Update
$DICE $AMGN - DICE Therapeutics initiated at buy at Wainwright on platform for small molecule drugs  https://t.co/1XWE8vmn2O,Analyst Update
"$GM $TSLA - General Motors downgraded at Deutsche amid pricing pressure, recession risks  https://t.co/sFSx4GkPxe",Analyst Update
$CMG - Chipotle loses conviction buy list status at Goldman Sachs but is still a top restaurant pick  https://t.co/tDOo4YYzXY,Analyst Update
$BKNG - Booking Holdings called out at Evercore ISI for near-term upside  https://t.co/WgqhNa0r3r,Analyst Update
$SHOO $RCKY $WWW - B. Riley expects footwear stocks to stand firm amid market turmoil  https://t.co/6mJAlZuIPL,Analyst Update
$PEN - Penumbra gains as RBC initiates at Outperform with 59% upside  https://t.co/5NRlEQwDJP,Analyst Update
$MITT - Keefe Bruyette analyst downgrades AG Mortgage Investment Trust over sector concerns  https://t.co/jxSU3dUoB9,Analyst Update
$HOLX - Hologic cut to Neutral at BTIG on macro concerns  https://t.co/mwr2oVj8zZ,Analyst Update
$BL - BlackLine falls after cut sell equivalent at BofA even after M&amp;A speculation  https://t.co/ERGRSXZvBZ,Analyst Update
"$IP $GPK - Containerboard check: Wells Fargo downgrades International Paper, calls Graphic Packaging its top pick  https://t.co/7NU202Un51",Analyst Update
$SHOP - Shopify is viewed cautiously by Wells Fargo into earnings print  https://t.co/Nxga2DgMs0,Analyst Update
"$LLY $NVO $NONOF - Novo, Eli Lilly to dominate &gt;$50B obesity market - Morgan Stanley  https://t.co/kyhSMj6EM5",Analyst Update
"$DXCM - Bernstein initiates DexCom with an outperform rating, citing long growth runway  https://t.co/aSt8VkluX7",Analyst Update
"$SAVE $ULCC $JBLU - ISS shifts view, advises against Spirit-Frontier deal sans improved offer  https://t.co/oi3rtfwB1S",Analyst Update
$MLM $VMC - Martin Marietta raised to Outperform at Wolfe as 30% YTD drop 'excessive'  https://t.co/LjvGFCBXrQ,Analyst Update
"$SRE $EIX $PCG - Sempra upgraded, Edison downgraded as BofA shuffles California utilities  https://t.co/cchOVoXB8i",Analyst Update
"$APTV $ADNT $AXL - Morgan Stanley cuts PT on Group 1 Automotive, American Axle, Adient, Aptiv, citing credit headwinds and slow growth  https://t.co/kYSZilbvto",Analyst Update
$TASK - Wells Fargo cuts price target on TaskUs to $20 from $37  https://t.co/4Wzwiym8FJ,Analyst Update
"$CF $NTR - CF Industries, Nutrien slapped with Sell-equivalent ratings at Credit Suisse  https://t.co/xhJX1hSZvG",Analyst Update
"$AGS $LNW $IGT - Casino stock, PlayAGS sees lowered price target at Deutsche amid a mixed bag of upside and downside risks  https://t.co/HOsXQWzKr0",Analyst Update
"$SQSP $SHOP $WIX - JMP downgrades Squarespace over product disparity with commerce platforms Shopify, Wix  https://t.co/7pUbq1ptpJ",Analyst Update
"$JELD - Barclays downgrades JELD-WEN to equal-weight from overweight, cuts PT to $17  https://t.co/DsjB1yczoG",Analyst Update
$SAH - Morgan Stanley cuts Sonic Automotive forecast to reflect slowing growth and credit headwinds  https://t.co/CF7Aiotm67,Analyst Update
$HMN - Horace Mann Educators price target cut post Q2 results estimates and lower 2022 outlook  https://t.co/WrymM4hjW7,Analyst Update
$TWLO $RNG $BAND - Morgan Stanley cuts communication software stocks PT on cautious growth outlook  https://t.co/2eorGPK4ey,Analyst Update
"$APTV $FREY $LEA - Auto suppliers, dealers see estimates cut by Morgan Stanley ahead of earnings season  https://t.co/9r65lL6UQj",Analyst Update
"$ZETA $WIX $USER - Freshworks, GoDaddy, ServiceNow among SaaS software price target cut at Morgan Stanley on slowing demand  https://t.co/houE4U0Fvj",Analyst Update
"$PLNT $WEBR $EBR - Harley Davidson, Planet Fitness picked as resilient recession stocks by BofA  https://t.co/GT4q82INux",Analyst Update
$AOS - Baird downgrades A. O. Smith to neutral  https://t.co/1YEMMqXfIF,Analyst Update
$C - Analysts relatively optimistic on Citigroup's Q2 earnings despite disappointing results by big banks  https://t.co/a8l4cwYqwL,Analyst Update
"$FFIV - F5 slips as Credit Suisse downgrades, citing recent spending weakness for networking IT  https://t.co/XPrrbyANX8",Analyst Update
$ESRT - Empire State Realty Trust upgraded to Market Perform at BMO on tourist rebound  https://t.co/wYEB8EU1DC,Analyst Update
$INSE - Inspired Entertainment is on watch after B. Riley calls out buying opportunity  https://t.co/DWAqC5InEu,Analyst Update
$RBA - Ritchie Bros. lands bull rating at BofA with auction cycle looking strong  https://t.co/PSxwIR09ZK,Analyst Update
$EDU $KLTHF - Hedgeye says go long New Oriental Education and short Koolearn in new pair trade recommendation  https://t.co/kF9YP7P9KB,Analyst Update
"$FISV $FIS $CDLX - FIS, FISV, and Cardlytics downgraded to Equalweight at Wells Fargo  https://t.co/UrG5oy3Dj2",Analyst Update
"$AAPL - Apple's advertising business could be worth $20B by 2026, BofA says  https://t.co/fmT0Ts7RWJ",Analyst Update
"$AMD $INTC - Advanced Micro Devices rises as BMO upgrades, citing 'continued superior execution'  https://t.co/B1R7ZUGLAd",Analyst Update
$RRR - Red Rock Resorts is named a best idea long at Hedgeye  https://t.co/JStS4BT4cQ,Analyst Update
$SLCA - U.S. Silica raised at Morgan Stanley on tightening frac sand conditions  https://t.co/Jv9jXVs4Tz,Analyst Update
"$PWSC - PowerSchool upgraded by Goldman Sachs, PT set to $16  https://t.co/23L6ZlF6D0",Analyst Update
"$CE - Celanese cut at RBC on peak acetic/VAM prices, higher leverage  https://t.co/doKc2t1n3F",Analyst Update
$EB - Eventbrite initiated with a sector weight at KeyBanc  https://t.co/FYKYj7SvJt,Analyst Update
"$APPS $U $IS - Digital Turbine could be 'in play,' Oppenheimer says, following Unity/ironSource deal  https://t.co/g7eKMStZ2y",Analyst Update
"$BMRN $VRTX - Vertex, BioMarin initiated at overweight at Cantor Fitzgerald on growth prospects  https://t.co/d3QxPnc3J2",Analyst Update
$VRRM - Baird downgrades Verra Mobility as valuation reflects balanced risk/reward  https://t.co/UJNWsmAUM4,Analyst Update
$BHF - Barclays revises Brighthouse Financial estimates on negative equity market performance  https://t.co/vtTM06TCd5,Analyst Update
"$LPRO - JMP cuts PT on Open Lending, reiterates Market Outperform rating  https://t.co/x1Ny0pIZgi",Analyst Update
$RIVN $AMZN - Rivian Automotive is called an EV winner by Canaccord Genuity  https://t.co/6OFzmv1qTt,Analyst Update
$BBWI - RayJay sees Bath &amp; Body Works as a 'Strong Buy' after recent selloff  https://t.co/gtVnWSncXH,Analyst Update
"$AAPL - Citi cuts estimates on Apple, citing 'macro woes,' but offers 5 reasons to buy shares  https://t.co/ZzDnuSutIa",Analyst Update
$CMI - Cummins is a catalyst call buy at Deutsche Bank  https://t.co/JGfJok9wN6,Analyst Update
$GBX - Analysts defend Greenbrier despite post-earnings plunge  https://t.co/wBazHL2BWu,Analyst Update
"$HQY $MDRX - Goldman Sachs initiates HealthEquity with sell rating, Allscripts Healthcare with neutral  https://t.co/A78piQ9672",Analyst Update
$SST - System1 lands buy rating from Bank of America in first ratings look  https://t.co/tyWly8vWHb,Analyst Update
$UNTY - Unity Bancorp added to US Small-Cap Russell 2000 Index  https://t.co/SyFOleDx1v,Analyst Update
$SRRK - Scholar Rock initiated at buy at Truist on platform for rare diseases and oncology  https://t.co/NLpsclyxn8,Analyst Update
"$HSC - BMO analyst initiates coverage on Harsco with Market Perform rating, price target of $7  https://t.co/T5ZjfAcwUt",Analyst Update
$RNR - RenaissanceRe cut to Hold at Jefferies as investment losses may curtail buybacks  https://t.co/v0C8hfv95W,Analyst Update
"$UPS $EXPD $CHRW - UPS downgraded to Sell, Knight-Swift upgraded at Wolfe Research  https://t.co/UPgUd9fwEu",Analyst Update
$DCP - DCP Midstream upgraded at RBC after recent sharp slide  https://t.co/qs4fH4FH7P,Analyst Update
$ONEM - 1Life Healthcare downgraded to Hold from Buy at Deutsche Bank  https://t.co/e4WeLB4HHq,Analyst Update
$VRNS - Varonis Systems' price target cut at Barclays as stock slides to 52-week low  https://t.co/Jb9OSr8aDU,Analyst Update
$UMC - Citi analyst downgrades United Microelectronics to Sell from Buy considering expected weaker consumer demand  https://t.co/HRujP6YGyf,Analyst Update
$HASI - Hannon Armstrong falls on new short report from Muddy Waters  https://t.co/dhMjqvOzOK,Analyst Update
$APTV - Aptiv is viewed positively by Oppenheimer ahead of earnings  https://t.co/JQCaatv4ul,Analyst Update
"$NVDA $AMD $SWKS - KeyBanc cuts estimates on Nvidia, AMD, others as firm sees semi correction 'looming'  https://t.co/uyOFLPg6W9",Analyst Update
"$AXP $SEIC $COF - American Express, Capital One, SEI Investments cut at Morgan Stanley  https://t.co/obMSW7WnCz",Analyst Update
"$JPM $PNC $KEY - JPMorgan upgraded to Buy at Citi, Regions Financial cut to Neutral  https://t.co/1FX2raBra6",Analyst Update
$KNX - Evercore upgrades Knight-Swift Transportation amid attractive M&amp;A prospects  https://t.co/8SnfODikuy,Analyst Update
$COF - Capital One downgraded to neutral as tangible book value growth stalls  https://t.co/scqKNWyrgB,Analyst Update
"$AAPL - Apple lowering trade-in prices, implies 'strong demand,' BofA says  https://t.co/hfRo5ZlQwY",Analyst Update
$MGNX - MacroGenics downgraded at BMO after discontinuation of cancer trial  https://t.co/0KyUkSBGIS,Analyst Update
$AAPL $QCOM $QRVO - Smartphone shipments seen declining in new Cowen industry outlook  https://t.co/EIyyJoxCy2,Analyst Update
$ONEM $CANO $OSH - ONEM stock underperforms value-based care as Evercore downgrades  https://t.co/cUr7eRe0OU,Analyst Update
"$QRVO - Qorvo slips as Cowen downgrades, citing weakness in Android handsets  https://t.co/OE9TY78QZc",Analyst Update
"$PIPR - Piper Sandler downgraded by Wolfe Research, PT to $132  https://t.co/jRFBEmmPgg",Analyst Update
"$ABC $CI $WBA - AmerisourceBergen downgraded at Evercore on valuation, future operating performance  https://t.co/iOb9MLSiKu",Analyst Update
"$XLK $SPY $XLY - Credit Suisse wary on Big Tech earnings, but Oppenheimer highlights charts  https://t.co/oR9DJ0R459",Analyst Update
$JACK - Jack in the Box is defended at Guggenheim even as estimates are reeled in  https://t.co/27FahEqq1w,Analyst Update
$PRVB - HC Wainwright cuts PT on Provention Bio to reflect recent financing  https://t.co/WxTKq3zclo,Analyst Update
$ETNB - SVB Leerink slashes PT on 89bio  https://t.co/ussCWz8R28,Analyst Update
"$ELYM - SVB Leerink cuts PT on Eliem Therapeutics, reaffirms Outperform rating  https://t.co/TbKYhkJwO7",Analyst Update
"$TTD $CRTO $SNAP - Stifel cuts ad industry estimates, but still likes Trade Desk and Criteo  https://t.co/jmGYyp7BDe",Analyst Update
$SILK - Silk Road Medical falls after Citigroup downgrades to Sell from Neutral  https://t.co/EOKPLiljqm,Analyst Update
$NSSC - Napco Security Technologies attract Bull rating at B. Riley on school safety prospects  https://t.co/oJNpPfNbFM,Analyst Update
$GIII - G-III Apparel is viewed cautiously at Wells Fargo  https://t.co/K1Ko1p0Ig1,Analyst Update
$NEWR - New Relic goes into the red following Morgan Stanley downgrade  https://t.co/h8ZugJ2Tg2,Analyst Update
"$TWTR - Twitter shares could drop to $11/share without deal, analyst says  https://t.co/4adNSNKOVu",Analyst Update
"GOLDMAN SACHS DOWNGRADES COPPER PRICE VIEW THROUGH H2 TO REFLECT NEAR-TERM STAGNATION (GSE $7,200/T VS. $8,875/T PREVIOUSLY), SEES GRADUAL REVIVAL OVER FIRST HALF OF 2023 (GSE $8,000/T VS $10,250/T PREVIOUSLY)",Analyst Update
"GOLDMAN SACHS REVISES COPPER PRICE TARGETS FOR 3/6/12M TO $6,700/7,600/9,000/T (VS. $8,650/10,500/12,000/T PREVIOUSLY)",Analyst Update
MOODY'S DOWNGRADES PEMEX'S RATINGS TO B1; OUTLOOK CHANGED TO STABLE,Analyst Update
S&amp;P SAYS TWITTER INC. 'BB+' RATINGS REMAIN ON CREDITWATCH NEGATIVE AS MUSK DEAL TEETERS,Analyst Update
"@Macquarie Analyst Chad Beynon on casinos and gaming stocks: “The result in Singapore, which is the number one profit generating asset in the world, came back to almost… pre-recession levels.”  https://t.co/CgalZifPgy",Analyst Update
"Amazon's ginormous retail business is being priced at 'virtually zero value,' making the stock 'attractive': Analyst  https://t.co/6P8hFpL855 by @BrianSozzi",Analyst Update
"Disney offers something that streaming competitors ‘are not offering,’ analyst explains  https://t.co/wh6DoDi8wd by @_JoshSchafer  https://t.co/cCWsxhnkUT",Analyst Update
Futurum Research Principal Analyst Daniel Newman on $IBM Q2 earnings: “I think this was a really good print for IBM.” Full comments:  https://t.co/JNXNsIw1R3,Analyst Update
Rosenblatt Securities Senior Research Analyst Barton Crockett breaks down the expectations for $NFLX Q2 earnings:  https://t.co/vqcQapASWM,Analyst Update
"$GS has ""a pretty balanced business model,"" JMP Securities Director of Financial Technology Research Devin Ryan says, adding: ""Their trading results were very resilient, and that more than offset a little bit softer investment banking.""  https://t.co/Jb7k9tf4PH  https://t.co/R1jeDMcSpB",Analyst Update
